id,id_place,description,date
bbbbbbb82y,aaaGL,awsome event in Bar Santurce Nº: 0,1599849000
bbbbbbb82z,aaaGL,awsome event in Bar Santurce Nº: 1,1590690600
bbbbbbb82A,aaaGL,awsome event in Bar Santurce Nº: 2,1599849000
bbbbbbb82B,aaaGL,awsome event in Bar Santurce Nº: 3,1583436600
bbbbbbb82C,aaaGL,awsome event in Bar Santurce Nº: 4,1595183400
bbbbbbb82D,aaaGL,awsome event in Bar Santurce Nº: 5,1605555000
bbbbbbb82E,aaaGL,awsome event in Bar Santurce Nº: 6,1589394600
bbbbbbb82F,aaaGL,awsome event in Bar Santurce Nº: 7,1594146600
bbbbbbb82G,aaaGL,awsome event in Bar Santurce Nº: 8,1596220200
bbbbbbb82H,aaaGL,awsome event in Bar Santurce Nº: 9,1593369000
bbbbbbb82J,aaaGM,awsome event in S&aacute;came por Dios Nº: 0,1599417000
bbbbbbb82K,aaaGM,awsome event in S&aacute;came por Dios Nº: 1,1608406200
bbbbbbb82L,aaaGM,awsome event in S&aacute;came por Dios Nº: 2,1601145000
bbbbbbb82M,aaaGM,awsome event in S&aacute;came por Dios Nº: 3,1606591800
bbbbbbb82N,aaaGM,awsome event in S&aacute;came por Dios Nº: 4,1601145000
bbbbbbb82P,aaaGM,awsome event in S&aacute;came por Dios Nº: 5,1602095400
bbbbbbb82Q,aaaGM,awsome event in S&aacute;came por Dios Nº: 6,1589394600
bbbbbbb82R,aaaGM,awsome event in S&aacute;came por Dios Nº: 7,1589221800
bbbbbbb82S,aaaGM,awsome event in S&aacute;came por Dios Nº: 8,1603305000
bbbbbbb82T,aaaGM,awsome event in S&aacute;came por Dios Nº: 9,1588617000
bbbbbbb82U,aaaGN,awsome event in Tablao La Fragua Nº: 0,1595356200
bbbbbbb82V,aaaGN,awsome event in Tablao La Fragua Nº: 1,1588703400
bbbbbbb82W,aaaGN,awsome event in Tablao La Fragua Nº: 2,1605468600
bbbbbbb82X,aaaGN,awsome event in Tablao La Fragua Nº: 3,1578252600
bbbbbbb82Y,aaaGN,awsome event in Tablao La Fragua Nº: 4,1606678200
bbbbbbb82Z,aaaGN,awsome event in Tablao La Fragua Nº: 5,1587493800
bbbbbbb831,aaaGN,awsome event in Tablao La Fragua Nº: 6,1597516200
bbbbbbb832,aaaGN,awsome event in Tablao La Fragua Nº: 7,1583609400
bbbbbbb833,aaaGN,awsome event in Tablao La Fragua Nº: 8,1581708600
bbbbbbb834,aaaGN,awsome event in Tablao La Fragua Nº: 9,1579721400
